1	VERA MCCOY	Kabul	Afghanistan	218
2	MARIO CHEATHAM	Batna	Algeria	441
3	JUDY GRAY	Bchar	Algeria	69
4	JUNE CARROLL	Skikda	Algeria	176
5	ANTHONY SCHWAB	Tafuna	American Samoa	320
6	CLAUDE HERZOG	Benguela	Angola	528
7	MARTIN BALES	Namibe	Angola	383
8	BOBBY BOUDREAU	South Hill	Anguilla	381
9	WILLIE MARKHAM	Almirante Brown	Argentina	359
10	JORDAN ARCHULETA	Avellaneda	Argentina	560
11	JASON MORRISSEY	Baha Blanca	Argentina	322
12	KIMBERLY LEE	Crdoba	Argentina	24
13	MICHEAL FORMAN	Escobar	Argentina	445
14	DARRYL ASHCRAFT	Ezeiza	Argentina	530
15	JULIA FLORES	La Plata	Argentina	89
16	FLORENCE WOODS	Merlo	Argentina	107
17	PERRY SWAFFORD	Quilmes	Argentina	585
18	LYDIA BURKE	San Miguel de Tucumn	Argentina	243
19	ERIC ROBERT	Santa F	Argentina	331
20	LEONARD SCHOFIELD	Tandil	Argentina	405
21	WILLIE HOWELL	Vicente Lpez	Argentina	219
22	STEPHANIE MITCHELL	Yerevan	Armenia	41
23	AUDREY RAY	Graz	Austria	173
24	JILL HAWKINS	Linz	Austria	159
25	NORA HERRERA	Salzburg	Austria	266
26	ANDREW PURDY	Baku	Azerbaijan	333
27	RAYMOND MCWHORTER	Sumqayit	Azerbaijan	334
28	SETH HANNON	al-Manama	Bahrain	590
29	STEPHEN QUALLS	Dhaka	Bangladesh	332
30	FRANK WAGGONER	Jamalpur	Bangladesh	329
31	MICHELLE CLARK	Tangail	Bangladesh	21
32	CORY MEEHAN	Mogiljov	Belarus	527
33	CLARA SHAW	Molodetno	Belarus	144
34	JON WILES	El Alto	Bolivia	455
35	JOEL FRANCISCO	Sucre	Bolivia	431
36	CLAYTON BARBEE	Alvorada	Brazil	551
37	JOSEPH JOY	Angra dos Reis	Brazil	307
38	TAMARA NGUYEN	Anpolis	Brazil	229
39	NATALIE MEYER	Aparecida de Goinia	Brazil	216
40	JANE BENNETT	Araatuba	Brazil	77
41	ANTONIO MEEK	Bag	Brazil	398
42	NICHOLAS BARFIELD	Belm	Brazil	362
43	TERRI VASQUEZ	Blumenau	Brazil	206
44	HAROLD MARTINO	Boa Vista	Brazil	342
45	TIMOTHY BUNN	Braslia	Brazil	325
46	TINA SIMMONS	Goinia	Brazil	92
47	JESUS MCCARTNEY	Guaruj	Brazil	427
48	CHARLOTTE HUNTER	guas Lindas de Gois	Brazil	130
49	DANIEL CABRAL	Ibirit	Brazil	310
50	FRANCES PARKER	Juazeiro do Norte	Brazil	47
51	KENT ARSENAULT	Juiz de Fora	Brazil	591
52	IDA ANDREWS	Luzinia	Brazil	183
53	MARIAN MENDOZA	Maring	Brazil	246
54	ELLEN SIMPSON	Po	Brazil	126
55	MAXINE SILVA	Poos de Caldas	Brazil	254
56	DENISE KELLY	Rio Claro	Brazil	74
57	MARION SNYDER	Santa Brbara dOeste	Brazil	178
58	JUSTIN NGO	Santo Andr	Brazil	354
59	CODY NOLEN	So Bernardo do Campo	Brazil	544
60	FRANCISCO SKIDMORE	So Leopoldo	Brazil	443
61	GEORGE LINTON	Sorocaba	Brazil	314
62	DEBRA NELSON	Vila Velha	Brazil	39
63	JEREMY HURTADO	Vitria de Santo Anto	Brazil	374
64	LOIS BUTLER	Bandar Seri Begawan	Brunei	91
65	TYRONE ASHER	Ruse	Bulgaria	540
66	JESSIE BANKS	Stara Zagora	Bulgaria	215
67	ELMER NOE	Battambang	Cambodia	516
68	ALLISON STANLEY	Phnom Penh	Cambodia	228
69	ALBERT CROUSE	Bamenda	Cameroon	352
70	LAWRENCE LAWTON	Yaound	Cameroon	361
71	DERRICK BOURQUE	Gatineau	Canada	476
72	DARRELL POWER	Halifax	Canada	463
73	LORETTA CARPENTER	Oshawa	Canada	189
74	CURTIS IRBY	Richmond Hill	Canada	410
75	TROY QUIGLEY	Vancouver	Canada	436
76	JAVIER ELROD	NDjamna	Chad	535
77	JANET PHILLIPS	Antofagasta	Chile	45
78	ANDRE RAPP	Coquimbo	Chile	515
79	JEROME KENYON	Rancagua	Chile	464
80	TED BREAUX	Baicheng	China	538
81	CHARLIE BESS	Baiyin	China	495
82	JESSIE MILAM	Binzhou	China	533
83	SUE PETERS	Changzhou	China	197
84	CHRISTY VARGAS	Datong	China	260
85	JUDITH COX	Daxian	China	64
86	LEO EBERT	Dongying	China	466
87	ALAN KAHN	Emeishan	China	389
88	TIFFANY JORDAN	Enshi	China	110
89	DONALD MAHON	Ezhou	China	313
90	STACEY MONTGOMERY	Fuyu	China	211
91	LEONA OBRIEN	Fuzhou	China	281
92	HUGH WALDROP	Haining	China	552
93	LORRAINE STEPHENS	Hami	China	165
94	HAZEL WARREN	Hohhot	China	138
95	ERNEST STEPP	Huaian	China	384
96	REGINA BERRY	Jinchang	China	168
97	EDUARDO HIATT	Jining	China	594
98	TERRENCE GUNDERSON	Jinzhou	China	595
99	RICKY SHELBY	Junan	China	435
100	FELICIA SUTTON	Korla	China	283
101	MEGAN PALMER	Laiwu	China	151
102	MELVIN ELLINGTON	Laohekou	China	422
103	MARGIE WADE	Lengshuijiang	China	267
104	DAVE GARDINER	Leshan	China	569
105	CARRIE PORTER	Liaocheng	China	129
106	RUBY WASHINGTON	Meixian	China	90
107	PAMELA BAKER	Nanyang	China	37
108	ERICA MATTHEWS	Pingxiang	China	169
109	GLENDA FRAZIER	Qinhuangdao	China	242
110	TYLER WREN	Rizhao	China	496
111	KELLY KNOTT	Sanya	China	546
112	KYLE SPURLOCK	Shanwei	China	424
113	CLYDE TOBIAS	Shaoguan	China	485
114	EUGENE CULPEPPER	Shenzhen	China	378
115	CHESTER BENNER	Suihua	China	511
116	DORA MEDINA	Tianjin	China	249
117	MICHAEL SILVERMAN	Tiefa	China	302
118	AUSTIN CINTRON	Tieli	China	599
119	LEROY BUSTAMANTE	Tongliao	China	442
120	MARION OCAMPO	Weifang	China	588
121	HEIDI LARSON	Xiangfan	China	241
122	KELLY TORRES	Xiangtan	China	67
123	BOB PFEIFFER	Xintai	China	564
124	WALTER PERRYMAN	Xinxiang	China	339
125	KAY CALDWELL	Yantai	China	272
126	ROBERTO VU	Yinchuan	China	484
127	ROLAND SOUTH	Yingkou	China	521
128	MICHELE GRANT	Yuncheng	China	154
129	GARY COY	Yuzhou	China	324
130	PHYLLIS FOSTER	Zalantun	China	93
131	FRANKLIN TROUTMAN	Zaoyang	China	514
132	GUY BROWNLEE	Zhoushan	China	550
133	JACKIE LYNCH	Buenaventura	Colombia	235
134	SYLVIA ORTIZ	Dos Quebradas	Colombia	120
135	LEON BOSTIC	Florencia	Colombia	460
136	STACY CUNNINGHAM	Pereira	Colombia	180
137	WANDA PATTERSON	Sincelejo	Colombia	87
138	SAM MCDUFFIE	Sogamoso	Colombia	490
139	JESSE SCHILLING	Lubumbashi	Congo, The Democratic Republic of the	387
140	AARON SELBY	Mwene-Ditu	Congo, The Democratic Republic of the	375
141	JENNIE TERRY	Olomouc	Czech Republic	265
142	RANDALL NEUMANN	La Romana	Dominican Republic	437
143	JEFF EAST	San Felipe de Puerto Plata	Dominican Republic	418
144	MYRTLE FLEMING	Santiago de los Caballeros	Dominican Republic	258
145	TRACY HERRMANN	Loja	Ecuador	589
146	PATSY DAVIDSON	Portoviejo	Ecuador	262
147	RAMON CHOATE	Robamba	Ecuador	494
148	EVERETT BANDA	Bilbays	Egypt	559
149	LILLIE KIM	Idfu	Egypt	233
150	RICK MATTOX	Mit Ghamr	Egypt	491
151	EMMA BOYD	Qalyub	Egypt	134
152	ALFRED CASILLAS	Sawhaj	Egypt	423
153	SHERRY MARSHALL	Shubra al-Khayma	Egypt	119
154	MARCUS HIDALGO	Tartu	Estonia	444
155	SEAN DOUGLASS	Addis Abeba	Ethiopia	392
156	EDWARD BAUGH	Trshavn	Faroe Islands	317
157	ERIKA PENA	Oulu	Finland	298
158	LUIS YANEZ	Brest	France	402
159	LAUREN HUDSON	Le Mans	France	162
160	RITA GRAHAM	Toulon	France	104
161	VIRGINIA GREEN	Toulouse	France	35
162	ROSE HOWARD	Cayenne	French Guiana	65
163	CHRISTINE ROBERTS	Faaa	French Polynesia	43
164	GLORIA COOK	Papeete	French Polynesia	56
165	SALVADOR TEEL	Banjul	Gambia	584
166	GRACE ELLIS	Duisburg	Germany	114
167	MIGUEL BETANCOURT	Erlangen	Germany	448
168	VICKIE BREWER	Halle/Saale	Germany	251
169	ALMA AUSTIN	Mannheim	Germany	196
170	COLLEEN BURTON	Saarbrcken	Germany	227
171	VANESSA SIMS	Siegen	Germany	195
172	VICKI FIELDS	Witten	Germany	201
173	LINDA WILLIAMS	Athenai	Greece	3
174	ENRIQUE FORSYTHE	Patras	Greece	596
175	GERTRUDE CASTILLO	Nuuk	Greenland	207
176	JESSICA HALL	Citt del Vaticano	Holy See (Vatican City State)	26
